TABLE_ID,CODIGO,ESCUELA,REGION,DISTRITO,MUNICIPIO_ESCOLAR,DIRECCION_FISICA,DIRECCION_MUNICIPIO,DIRECCION_ESTADO,DIRECCION_ZIPCODE,GEOLOCALIZACION,TELEFONO,FAX,DIRECTOR,ZONA,OPERACIONAL_2018-2019,NIVEL_ORIGINAL,GRADOS_ORIGINAL,GRADOS_POSTERIOR,MATRICULA_TOTAL,GRADO_INFANT,GRADO_TODDLER,GRADO_PK,GRADO_PKE,GRADO_PKM,GRADO_K,GRADO_1,GRADO_2,GRADO_3,GRADO_4,GRADO_5,GRADO_6,GRADO_SGE,GRADO_7,GRADO_8,GRADO_9,GRADO_SGI,GRADO_10,GRADO_11,GRADO_12,GRADO_SGS,ESPAÑOL_[PROFICIENTE+AVANZADO],ESPAÑOL_PRE-BÁSICO,ESPAÑOL_BÁSICO,ESPAÑOL_PROFICIENTE,ESPAÑOL_AVANZADO,MATEMÁTICAS_[PROFICIENTE+AVANZADO],MATEMÁTICAS_PRE-BÁSICO,MATEMÁTICAS_BÁSICO,MATEMÁTICAS_PROFICIENTE,MATEMÁTICAS_AVANZADO,INGLÉS_[PROFICIENTE+AVANZADO],INGLÉS_PRE-BÁSICO,INGLÉS_BÁSICO,INGLÉS_PROFICIENTE,INGLÉS_AVANZADO,BAJO_NIVEL_POBREZA
162,32250,CASIANO CEPEDA (INTERMEDIA),HUMACAO,CANOVANAS,RIO GRANDE,CARR 959 KM 2 BO CIENAGA ALTA,RIO GRANDE,PR,00745-0000,"(18.361, -65.85306)",887-4410,887-4410,ROSA E VELEZ CORREA,RURAL,SI,INTERMEDIO,9-Jul,9-Jul,290,,,,,,,,,,,,94,,102,94,,,,,,,22.46,30.18,47.37,15.44,7.02,8.42,30.18,61.4,8.07,0.35,15.85,45.42,38.73,11.62,4.23,89.66
163,34256,CASIANO CEPEDA (SUPERIOR),HUMACAO,CANOVANAS,RIO GRANDE,CARR 959 KM 2 BO CIENAGA ALTA,RIO GRANDE,PR,7457003,"(18.36096, -65.8542)",887-5295,888-1313,DANETTE QUINONES,RURAL,NO,SUPERIOR,12-Oct,12-Oct,431,,,,,,,,,,,,,,,,136,,106,91,98,,23.75,18.75,57.5,21.25,2.5,0,51.9,48.1,0,0,18.99,46.84,34.18,12.66,6.33,83.25
164,42028,CASTILLO,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,53 CALLE CUPEY PARCELAS CASTILLO,MAYAGUEZ,PR,00681-0000,"(18.16856, -67.15128)",265-8344,265-8344,JUSTO R. SANCHEZ GONZALEZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,110,,,,,,12,18,14,16,19,18,13,,,,,,,,,,75.41,0,24.59,24.59,50.82,83.61,0,16.39,37.7,45.9,83.61,0,16.39,29.51,54.1,81.73
165,24695,CAYETANO SANCHEZ,CAGUAS,GUAYAMA,ARROYO,BO PALMAS CARR 3 KM 127,ARROYO,PR,00714-0000,"(17.98387, -66.02984)",839-3745,839-3745,EDNA RODRIGUEZ ALVAREZ,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",123,,,,4,,14,22,15,17,16,23,,12,,,,,,,,,47.37,13.16,39.47,22.37,25,43.42,15.79,40.79,27.63,15.79,43.42,7.89,48.68,26.32,17.11,86.61
166,25049,CECILIO LEBRON RAMOS,HUMACAO,YABUCOA,PATILLAS,CALLE MUNOZ RIVERA FINAL,PATILLAS,PR,00723-0000,"(18.00546, -66.01105)",839-3550,839-3550,IVIS I MAYSONET OCASIO,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",352,,,,,,49,65,55,46,64,57,,16,,,,,,,,,47.62,10.32,42.06,28.57,19.05,43.65,0.79,55.56,29.37,14.29,29.37,23.81,46.83,16.67,12.7,83.28
167,50815,CEFERINO COLON LUCCA,PONCE,YAUCO,GUANICA,BO LA JOYA SANTA RITA INT 389,GUANICA,PR,00653-0000,"(18.00076, -66.87475)",821-6066,821-6066,DELMA I RODRIGUEZ PANCORBO,RURAL,NO,ELEMENTAL,K - 6,K - 6,94,,,,,,17,17,10,15,16,19,,,,,,,,,,,98.11,0,1.89,11.32,86.79,98.11,0,1.89,26.42,71.7,92.45,0,7.55,24.53,67.92,82.02
168,34793,CELSO GONZALEZ VAILLANT,HUMACAO,CANOVANAS,LOIZA,CARR 188 KM 7 HM 2,LOIZA,PR,00772-0000,"(18.42633, -65.88097)",876-8260,876-8260,SANTOS CASADO ARCHEVAL,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",349,,,,,,74,55,50,58,55,51,,6,,,,,,,,,40.8,14.37,44.83,23.56,17.24,43.1,8.62,48.28,30.46,12.64,41.95,19.54,38.51,22.41,19.54,89.46
169,61572,CENTRAL ARTES VISUALES,SAN JUAN,SAN JUAN I,SAN JUAN I,1415 AVE PONCE DE LEON PDA 20,SAN JUAN,PR,00940-1215,"(18.44818, -66.06979)",723-8911,721-0399,JOSE E. MORALES,URBANA,SI,SECUNDARIO,12-Jul,12-Jul,682,,,,,,,,,,,,51,,75,113,108,,117,113,105,,84.84,1.46,13.7,29.45,55.39,20.35,6.1,73.55,13.95,6.4,86.59,2.04,11.37,21.57,65.01,33.04
170,23887,CENTRO ADIESTRAMIENTO VOCACIONAL,CAGUAS,CIDRA,CAYEY,AVE ANTONIO R BARCELO ESQ EL VETERANO,CAYEY,PR,7370000,"(18.11716, -66.15637)",263-1480,738-5342,CARMEN L. PADILLA MARTINEZ,URBANA,SI,SECUNDARIO,EEI - EES,EEI - EES,117,,,,,,,,,,,,,,,,,5,,,,112,0,97.5,2.5,0,0,0,80,20,0,0,0,97.5,2.5,0,0,93.83
171,71902,CENTRO COMUNAL,ARECIBO,VEGA ALTA,VEGA BAJA,"CARR 670 KM 6 HM 5, SECTOR MISS KELLY,BO ALGARROBO",VEGA BAJA,PR,00694-0000,"(18.43259, -66.42994)",858-1763,858-1763,SIN NOMBRAR,RURAL,NO,ELEMENTAL,K - 6,K - 6,194,,,,,,28,35,38,28,27,38,,,,,,,,,,,69.6,4.8,25.6,36,33.6,62.4,7.2,30.4,31.2,31.2,48,7.2,44.8,32.8,15.2,86.49
172,73494,CENTRO DE ADIESTRAMIENTO,ARECIBO,VEGA ALTA,VEGA BAJA,CARR 155 KM 6 HM 5 BO PUGNADO AFUERA,VEGA BAJA,PR,6944483,"(18.43434, -66.40578)",855-1360,855-1360,NANCY J. HERNANDEZ SALVA,RURAL,SI,SUPERIOR,EES,EES,150,,,,,,,,,,,,,,,,,,,,,150,0,89.74,10.26,0,0,0,82.05,17.95,0,0,0,100,0,0,0,92.13
174,61366,CENTRO EUGENIO MARIA DE HOSTOS,SAN JUAN,SAN JUAN I,SAN JUAN II,URB PUERTO NUEVO CALLE CONSTITUCION ESQ CAMPECHE,SAN JUAN,PR,9210000,"(18.41049, -66.08693)",792-0111,792-0111,JOSE M. BORIA VELAZQUEZ,URBANA,SI,SUPERIOR,EES,EES,128,,,,,,,,,,,,,,,,,,,,,128,25.81,25.81,48.39,12.9,12.9,0,53.33,46.67,0,0,0,48.28,51.72,0,0,90.54
175,45310,CENTRO VOCACIONAL ESPECIAL,MAYAGUEZ,AGUADILLA,AGUADA,CARR 417 KM 3 HM 6 BO GUANABANO,AGUADA,PR,6020519,"(18.36856, -67.1562)",868-3245,868-3245,JOSE A. MARRERO CARO,RURAL,SI,SECUNDARIO,EEI - EES,EEI - EES,123,,,,,,,,,,,,,,,,,101,,,,22,15.79,47.37,36.84,15.79,0,27.78,16.67,55.56,22.22,5.56,27.78,50,22.22,5.56,22.22,96.25
176,52027,CERRILLO HOYOS,PONCE,PONCE,PONCE I,BO CERRILLO HOJAS CARR PRINCIPAL,PONCE,PR,00715-0000,"(18.0651, -66.56588)",848-8793,848-8793,ANGEL ORTIZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,128,,,,,,28,28,21,12,18,21,,,,,,,,,,,56.92,9.23,33.85,32.31,24.62,64.62,7.69,27.69,33.85,30.77,36.92,18.46,44.62,26.15,10.77,84.3
177,42572,CERRO GORDO MEDINA,MAYAGUEZ,SAN SEBASTIAN,MOCA,CARR 420 INT 495 KM 2.0,MOCA,PR,00676-0000,"(18.34165, -67.07776)",877-5850,877-5850,RAFAEL MEDINA VELAZQUEZ,RURAL,SI,ELEMENTAL,K - 6,K - 6,138,,,17,,,17,17,20,19,27,21,,,,,,,,,,,40.45,19.1,40.45,17.98,22.47,41.57,7.87,50.56,25.84,15.73,48.31,16.85,34.83,33.71,14.61,84.07
178,23259,CHARLES E MINER,CAGUAS,GURABO,CAGUAS II,URB VILLA NUEVA CALLE 25,CAGUAS,PR,00725-0000,"(18.20853, -66.05572)",744-7779,704-0540,ADA E. ALMODOVAR TRINTA,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",276,,,,,,39,44,58,44,45,41,,5,,,,,,,,,79.37,7.94,12.7,36.51,42.86,82.54,6.35,11.11,22.22,60.32,50.79,9.52,39.68,34.92,15.87,73.21
179,42036,CHARLES T IRIZARRY,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,529 CALLE POST BO SABALOS,MAYAGUEZ,PR,00681-0000,"(18.17657, -67.15063)",832-4456,832-4456,NYDIA CARBO,URBANA,NO,ELEMENTAL,K - 6,K - 6,117,,,,,,13,18,14,20,13,17,14,8,,,,,,,,,40.54,8.11,51.35,28.38,12.16,40.54,8.11,51.35,32.43,8.11,28.38,20.27,51.35,25.68,2.7,95.65
180,20727,CIPRIANO MANRIQUE,CAGUAS,GURABO,CAGUAS II,"CARR 765 KM3 HM 1 BO. BORINQUEN, PARCELAS VIEJAS",CAGUAS,PR,00726-0000,"(18.17479, -66.04161)",747-3600,747-3600,CARLOS H. CRUZ ORTIZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",234,,,,,,40,37,42,33,42,35,,5,,,,,,,,,75,0.93,24.07,21.3,53.7,83.18,4.67,12.15,25.23,57.94,79.44,2.8,17.76,27.1,52.34,88.13
181,28100,CLAUDIO FERRE COTTO,CAGUAS,BARRANQUITAS,COMERIO,CARR 156 URB SABANA DEL PALMAR 826 PALMA REAL,COMERIO,PR,7820000,"(18.21106, -66.23603)",875-3265,875-5983,CARMEN GONZALEZ GARCIA,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",224,,,16,2,,30,30,19,27,39,41,,20,,,,,,,,,30.43,25.22,44.35,20,10.43,32.17,7.83,60,19.13,13.04,7.83,40,52.17,5.22,2.61,89.55
182,21493,CLEMENCIA MELENDEZ,CAGUAS,CIDRA,CIDRA,CARR 173 KM 7 HM 9 BO RABANAL,CIDRA,PR,00739-0000,"(18.16227, -66.19183)",739-8913,739-0205,LUZ E CARRION,RURAL,SI,SEGUNDA UNIDAD,"K - 9 , EEE - EEI","K - 9 , EEE - EEI",346,,,,,,32,22,32,35,24,36,41,11,46,37,,30,,,,,36.4,22.4,41.2,21.6,14.8,26.8,14.8,58.4,17.6,9.2,24.1,30.52,45.38,13.25,10.84,84.82
183,12153,CLEMENTE RAMIREZ DE ARELLANO,ARECIBO,MANATI,MANATI,CARR 670 KM 4 HM 9 BO PUEBLITO,MANATI,PR,00674-0000,"(18.42915, -66.44577)",884-3031,884-3031,RUTH CINTRON OQUENDO,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",285,,,,,,28,32,47,47,48,43,40,,,,,,,,,,83.91,1.15,14.94,36.78,47.13,91.38,0,8.62,35.63,55.75,75.86,4.6,19.54,44.83,31.03,91.1
184,74237,COLEEN VAZQUEZ URRUTIA,BAYAMON,COROZAL,NARANJITO,CARR 164 KM 7 HM 1 BO ACHIOTE,NARANJITO,PR,00719-0000,"(18.29895, -66.25257)",869-1309,869-1309,MARYVETTE ORTIZ,URBANA,SI,INTERMEDIO,9-Jul,9-Jul,343,,,,,,7,10,16,22,24,30,62,6,79,76,,11,,,,,33.11,22.07,44.82,20.07,13.04,18.52,31.65,49.83,13.8,4.71,23.41,41.47,35.12,19.4,4.01,89.91
185,23143,CONCEPCION MENDEZ CANO,CAGUAS,GURABO,CAGUAS II,URB TURABO GARDENS CALLE 25 2DA SECC,CAGUAS,PR,7269808,"(18.21915, -66.05384)",744-3583,744-1775,SARID J. RESTO ACEVEDO,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",226,,,,,,22,38,38,42,28,30,,28,,,,,,,,,36.89,29.13,33.98,26.21,10.68,38.24,18.63,43.14,26.47,11.76,21.57,41.18,37.25,14.71,6.86,88.74
186,11262,CONCEPCION PEREZ HERNANDEZ,ARECIBO,MANATI,CIALES,CARR 149 KM 5 HM 5 RAMAL SANTA CLARA BO JAGUAR,CIALES,PR,00638-0000,"(18.30636, -66.4774)",871-6090,871-6090,LOURDES M. TORRES CASTELLANO,RURAL,NO,ELEMENTAL,"PK - 5 , EEE","PK - 5 , EEE",88,,,16,4,,12,16,13,12,10,,,5,,,,,,,,,64,16,20,28,36,76,12,12,44,32,72,16,12,48,24,92.31
187,42911,CONRADO RODRIGUEZ,MAYAGUEZ,AGUADILLA,RINCON,CALLE LUIS MUNOZ RIVERA FINAL,RINCON,PR,00677-0000,"(18.33903, -67.25098)",823-5775,823-0005,MARGARITA SANTIAGO QUINONES,URBANA,SI,ELEMENTAL,"PK - 3 , EEE","PK - 3 , EEE",199,,,13,2,,39,30,28,24,32,28,,3,,,,,,,,,26.88,32.26,40.86,20.43,6.45,33.33,12.9,53.76,25.81,7.53,22.58,36.56,40.86,13.98,8.6,86.9
188,51151,CONSEJO,PONCE,YAUCO,GUAYANILLA,CARR 377 BO CONSEJO,GUAYANILLA,PR,00656-0000,"(18.06286, -66.8131)",835-5002,835-5002,GLENDA RAMOS,RURAL,NO,ELEMENTAL,K - 6,K - 6,114,,,,,,17,18,11,15,17,20,16,,,,,,,,,,78.13,0,21.88,9.38,68.75,87.5,0,12.5,34.38,53.13,73.44,0,26.56,37.5,35.94,79.63
189,21386,CONSUELO LOPEZ BENET,CAGUAS,CIDRA,CAYEY,"CALLE GREGORIO RIOS, BO VEGAS",CAYEY,PR,7370000,"(18.12626, -66.10983)",263-2999,263-4035,MICHELLE ESPADA,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,142,,,21,,,34,22,16,19,19,11,,,,,,,,,,,94.92,0,5.08,8.47,86.44,93.22,0,6.78,37.29,55.93,100,0,0,33.9,66.1,72.07
190,41699,CONSUMO,MAYAGUEZ,MAYAGUEZ,LAS MARIAS,CARR. 199 KM.6 BO. NARANJALES,LAS MARIAS,PR,-670,"(18.2093, -67.03143)",831-0818,833-4140,CARLOS M. SANTIAGO ALMODOVAR,RURAL,NO,ELEMENTAL,K - 6,K - 6,101,,,,,,11,18,23,15,18,16,,,,,,,,,,,42.65,19.12,38.24,20.59,22.06,36.76,8.82,54.41,25,11.76,26.47,32.35,41.18,16.18,10.29,67.02
191,52886,COQUI (INTERMEDIA),CAGUAS,GUAYAMA,SALINAS,CARR 3 KM 156 HM 0 BO COQUI,SALINAS,PR,7040000,"(17.9715, -66.22818)",853-4800,853-4800,VACANTE,RURAL,SI,INTERMEDIO,9-Jul,9-Jul,161,,,,,,,,,,,,48,,46,59,,8,,,,,49.67,15.03,35.29,23.53,26.14,9.15,26.14,64.71,7.84,1.31,28.86,28.86,42.28,20.13,8.72,79.5
192,10173,COTTO (ANEXO),ARECIBO,ARECIBO,ARECIBO II,AVE CONSTITUCION BO COTTO,ARECIBO,PR,00613-9582,"(18.46298, -66.73596)",878-8160,878-8160,CARLOS MARIN SILVA,URBANA,SI,TODOS LOS NIVELES,EEE - EES,EEE - EES,26,,,,,,,,,,,,,1,,,,5,,,,20,80,0,20,80,0,40,0,60,40,0,20,20,60,20,0,72.22
193,70425,CRISTOBAL COLON,BAYAMON,BAYAMON,BAYAMON II,URB LOMAS VERDES CALLE TULIPAN ESQ SAUCE,BAYAMON,PR,-956,"(18.37521, -66.15804)",785-1190,269-6726,YADIRA BURGOS,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",207,,,,,,24,26,40,32,27,42,,16,,,,,,,,,41.96,11.61,46.43,24.11,17.86,42.86,6.25,50.89,32.14,10.71,27.68,31.25,41.07,16.96,10.71,86.76
194,32714,CRISTOBAL DEL CAMPO,HUMACAO,YABUCOA,YABUCOA,CARR 962 KM 2 HM 4 BO LIMONES,YABUCOA,PR,00767-0000,"(18.0778, -65.8944)",893-3332,893-3332,INGRID TORRES RIVERA,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",298,,,9,,,44,48,51,49,34,50,,13,,,,,,,,,40.67,17.33,42,20.67,20,42,14.67,43.33,29.33,12.67,37.58,26.85,35.57,22.15,15.44,82.12
195,76562,CRISTOBAL SANTANA MELECIO (NUEVA),ARECIBO,VEGA ALTA,DORADO,CALLE 8 RIO LAJAS,DORADO,PR,6460000,"(18.396, -66.25971)",870-3416,870-3416,MARIA DE LOS A. LUGO VEGA,RURAL,SI,ELEMENTAL,"K - 6 , EEE",k - 5,165,,,,4,,23,34,24,21,24,35,,,,,,,,,,,49.12,9.65,41.23,27.19,21.93,47.37,11.4,41.23,32.46,14.91,33.33,19.3,47.37,24.56,8.77,84.62
196,11163,CRISTOBAL VICENS,ARECIBO,MANATI,CIALES,CARR 146 KM 26 BO CORDILLERA,CIALES,PR,00638-0000,"(18.31551, -66.5057)",871-1002,871-1002,ALEJANDRO MALDONADO,RURAL,NO,ELEMENTAL,K - 6,K - 6,85,,,,,,12,13,22,16,10,12,,,,,,,,,,,29.27,9.76,60.98,17.07,12.2,41.46,9.76,48.78,21.95,19.51,21.95,26.83,51.22,19.51,2.44,75.61
197,30167,CROEC-CENTRO RESIDENCIAL DE OPORTUNIDADES,HUMACAO,FAJARDO,CEIBA,,,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.39
198,44560,CROEM,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,CERRO LAS MESAS KM6 HM.9,MAYAGUEZ,PR,6811550,"(18.17693, -67.08917)",832-3720,832-3720,MILTON TOMASSINI,RURAL,SI,SECUNDARIO,12-Sep,12-Sep,175,,,,,,,,,,,,,,,,25,,55,8,87,,100,0,0,0,100,100,0,0,36.36,63.64,100,0,0,0,100,48
199,12237,CRUZ ROSA RIVAS,ARECIBO,MANATI,MANATI,CARR 685 KM 1 HM 1 BO TIERRAS NUEVAS,MANATI,PR,6740001,"(18.44914, -66.49761)",854-4900,854-4901,DENNISE E. TORRES GARCIA,RURAL,NO,ELEMENTAL,K - 6,K - 5,382,,,,,,49,71,50,70,67,75,,,,,,,,,,,71.1,4.05,24.86,27.17,43.93,87.28,0.58,12.14,40.46,46.82,91.91,1.16,6.94,32.37,59.54,80.87
200,60392,CRUZ SALGUERO TORRES,SAN JUAN,CAROLINA,CAROLINA I,"CALLE, ORQUIDEA, BUENAVENTURA",CANOVANAS,PR,00729-0000,"(18.37334, -65.93721)",769-3458,768-6933,PROFA. ANADEL MARRERO DIAZ,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",220,,,,,,,,,,,,96,,65,59,,,,,,,38.46,15.38,46.15,21.68,16.78,40.14,10.56,49.3,30.99,9.15,17.02,41.84,41.13,9.22,7.8,77.27
201,42069,CUESTA DE PIEDRAS,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,382 SUR POST,MAYAGUEZ,PR,00680-0000,"(18.18531, -67.14307)",832-9018,832-9018,EDNA ROSA AYALA,URBANA,NO,ELEMENTAL,K - 6,K - 6,210,,,,,,28,25,24,37,25,41,30,,,,,,,,,,41.18,12.5,46.32,24.26,16.91,33.09,7.35,59.56,22.06,11.03,23.53,23.53,52.94,18.38,5.15,85.28
202,51334,DALILA TORRES,PONCE,YAUCO,GUAYANILLA,CALLE LUIS MUNOZ RIVERA SECTOR SITIO,GUAYANILLA,PR,00656-0490,"(18.02428, -66.79254)",835-2145,835-2145,REBECCA M. LOPEZ MIRANDA,URBANA,SI,ELEMENTAL,"K - 3 , EEE","K - 3 , EEE",139,,,,8,,23,41,22,15,,,,30,,,,,,,,,90.63,0,9.38,15.63,75,100,0,0,31.25,68.75,81.25,9.38,9.38,50,31.25,78.69
203,12567,DAMIAN ABAJO,BAYAMON,OROCOVIS,OROCOVIS,CARR 157 KM 12 HM 6 BO DAMIAN ABAJO,OROCOVIS,PO BOX 1842,00720-0000,"(18.23803, -66.46182)",867-5466,867-5466,VACANTE,RURAL,NO,ELEMENTAL,K - 6,K - 6,81,,,,,,10,19,14,15,9,14,,,,,,,,,,,100,0,0,5.88,94.12,100,0,0,14.71,85.29,91.18,0,8.82,23.53,67.65,83.33
204,21964,DANIEL DIAZ SANTANA (JAGUAS),CAGUAS,GURABO,GURABO,CARR 941 KM 5 HM 0 SECTOR LAS FLORES,GURABO,PR,00778-0000,"(18.28076, -66.00712)",737-6066,737-6066,CAROL IVELISSE RIVERA RUIZ,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,147,,,15,,,22,22,20,16,15,18,19,,,,,,,,,,81.58,1.32,17.11,38.16,43.42,75,1.32,23.68,35.53,39.47,86.84,0,13.16,39.47,47.37,75.2
205,58263,DANIEL SERRANO RIVERA,PONCE,SANTA ISABEL,VILLALBA,CARR 149 KM 59 BO VILLALBA ABAJO,VILLALBA,PR,7660000,"(18.10698, -66.50581)",847-1606,,VIRGENMINA ALVARADO,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",306,,,15,,,39,41,53,56,48,47,,7,,,,,,,,,40.14,23.13,36.73,21.09,19.05,45.58,10.88,43.54,27.89,17.69,24.49,36.05,39.46,15.65,8.84,74.63
206,17673,DANIEL VELEZ SOTO,ARECIBO,CAMUY,LARES,CARR 111 KM 2 HM 0,LARES,PR,6690387,"(18.29956, -66.88233)",897-3060,897-3060,JUDITH NIEVES,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",356,,,28,,,55,67,51,40,42,52,,21,,,,,,,,,54.3,5.38,40.32,23.12,31.18,46.74,5.98,47.28,22.83,23.91,49.46,10.33,40.22,32.61,16.85,82.24
207,42119,DAVID G FARRAGUT,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,CALLE MCKINLEY ESQ PILAR DEFILLO,MAYAGUEZ,PR,00681-0000,"(18.20206, -67.14365)",832-3344,265-8415,SANDRA MALDONADO BOU,URBANA,NO,ELEMENTAL,K - 6,K - 6,205,,,,,,39,42,26,25,27,46,,,,,,,,,,,46.15,3.85,50,21.15,25,62.5,2.88,34.62,33.65,28.85,28.85,17.31,53.85,23.08,5.77,89.78
208,71639,DELIA DAVILA DE CABAN,BAYAMON,TOA BAJA,TOA BAJA,CALLE LAGO LAS CURIAS FINAL 5TA SECCION LEVITTOWN,TOA BAJA,PR,00949-0000,"(18.43506, -66.18149)",261-1340,261-0235,DIANA E. MATOS RODRIGUEZ,URBANA,SI,ELEMENTAL,K - 6,K - 6,231,,,,,9,38,29,34,43,46,31,,1,,,,,,,,,61.02,4.24,34.75,40.68,20.34,58.47,1.69,39.83,32.2,26.27,27.97,28.81,43.22,24.58,3.39,74.06
209,31591,DESIDERIO MENDEZ RODRIGUEZ (MAIZALES),HUMACAO,FAJARDO,NAGUABO,CARR 971 KM 8 BO MAIZALES,NAGUABO,PR,00718-0000,"(18.23301, -65.76057)",874-0205,874-0205,CARMELO I RODRIGUEZ AGOSTO,RURAL,NO,ELEMENTAL,K - 6,K - 6,117,,,,,,22,16,21,17,21,20,,,,,,,,,,,37.29,5.08,57.63,18.64,18.64,50.85,1.69,47.46,32.2,18.64,37.29,10.17,52.54,28.81,8.47,86.24
210,20735,DIEGO VAZQUEZ,CAGUAS,GURABO,CAGUAS I,CALLE D FINAL BDA. MORALES,CAGUAS,PR,7264956,"(18.23283, -66.04072)",743-3695,744-0820,AMALIA E RAMIREZ OYOLA,URBANA,SI,SEGUNDA UNIDAD,"K - 9 , EEE","K - 9 , EEE",198,,,,,,21,17,21,16,17,16,20,7,24,20,19,,,,,,59.32,5.08,35.59,33.05,26.27,58.47,3.39,38.14,27.12,31.36,39.83,8.47,51.69,27.12,12.71,86.01
211,70235,DOLORES ALVAREZ,BAYAMON,BAYAMON,BAYAMON III,URB MONTANEZ CALLE MARGARITA AA FINAL,BAYAMON,PR,00958-1158,"(18.37352, -66.17822)",797-2010,797-2010,IDA E. MORALES,URBANA,NO,ELEMENTAL,K - 6,K - 6,225,,,,,,32,38,35,40,38,39,,3,,,,,,,,,54.7,6.84,38.46,24.79,29.91,58.47,5.08,36.44,36.44,22.03,44.07,11.86,44.07,25.42,18.64,68.52
212,10207,DOLORES GOMEZ  DE ROMAN,ARECIBO,ARECIBO,ARECIBO II,AVE SAN LUIS CARR 129 HM 507 BO PUEBLO,ARECIBO,PR,00613-0000,"(18.47102, -66.7275)",878-2425,817-2814,MAYRA E. RODRIGUEZ ROMERO,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",206,,,,,,41,38,23,20,23,27,,34,,,,,,,,,53.1,7.96,38.94,29.2,23.89,46.02,9.73,44.25,22.12,23.89,43.75,13.39,42.86,24.11,19.64,93.26
213,26153,DOLORES GONZALEZ,CAGUAS,GUAYAMA,ARROYO,CALLE A URB JARDINES DE ARROYO,ARROYO,PR,00714-0000,"(17.97405, -66.06448)",839-5177,839-5177,MARIA A. MORALES RODRIGUEZ,URBANA,SI,ELEMENTAL,K - 6,K - 6,144,,,,,,24,20,20,25,20,35,,,,,,,,,,,48.75,16.25,35,26.25,22.5,51.25,3.75,45,25,26.25,28.75,22.5,48.75,25,3.75,72.79
214,11643,DOMINGO APONTE COLLAZO,ARECIBO,CAMUY,LARES,CARR 111 CALLE RAMON DE JESUS SIERRA,LARES,PR,00669-0000,"(18.29666, -66.87977)",897-1570,897-2980,VICTOR MATOS ARROYO,URBANA,SI,SUPERIOR,10 - 12 - SGS,10 - 12 - SGS,1027,,,,,,,,,,,,,,,,255,,260,262,243,7,46.67,8.33,45,28.33,18.33,3.33,21.67,75,3.33,0,37.92,25,37.08,17.08,20.83,74.83
215,50252,DOMINGO MASSOL,PONCE,UTUADO,ADJUNTAS,CARR 388 KM 0 HM 1 BO VACAS SALTILLO,ADJUNTAS,PR,00601-0000,"(18.13412, -66.72947)",829-2494,829-2536,RICARDO CRUZ ACOSTA,RURAL,SI,ELEMENTAL,K - 6,K - 6,114,,,,,,18,23,19,22,14,18,,,,,,,,,,,46.43,7.14,46.43,26.79,19.64,57.14,3.57,39.29,32.14,25,25,19.64,55.36,21.43,3.57,86.11
216,31260,DOMINGO NIEVES ORTIZ (PALMA SOLA),HUMACAO,CANOVANAS,CANOVANAS,CARR 957 KM 7 BO PALMA SOLA,CANOVANAS,PR,00729-0014,"(18.32032, -65.87097)",886-2994,886-2994,CINDIA SANYET MORALES,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,168,,,15,,,20,32,22,29,31,19,,,,,,,,,,,84.78,2.17,13.04,32.61,52.17,72.83,2.17,25,25,47.83,68.48,2.17,29.35,42.39,26.09,80.79
217,58081,DOMINGO PIETRI RUIZ,PONCE,UTUADO,ADJUNTAS,16 CALLE RODULFO GONZALEZ,ADJUNTAS,PR,6011029,"(18.17278, -66.726671)",829-2505,829-6712,INEABELL RIVERA MALDONADO,URBANA,SI,ELEMENTAL,"K - 3 , EEE","K - 3 , EEE",425,,,,5,,54,65,75,75,70,55,,26,,,,,,,,,33.04,26.34,40.63,20.54,12.5,46.64,14.8,38.57,30.04,16.59,12.67,38.91,48.42,10.41,2.26,78.93
